"","sub","correct","rt","itemtype"
"833",11,1,0.68,"old"
"834",11,1,1.823,"new"
"835",11,0,1.295,"old"
"836",11,0,1.238,"new"
"837",11,0,0.974,"old"
"838",11,1,0.672,"new"
"839",11,1,1.91,"old"
"840",11,0,0.791,"old"
"841",11,1,0.927,"new"
"842",11,1,2.566,"new"
"843",11,1,0.664,"new"
"844",11,0,1.063,"old"
"845",11,0,0.775,"old"
"846",11,0,2.326,"old"
"847",11,1,0.848,"new"
"848",11,1,0.934,"new"
"849",11,1,0.608,"new"
"850",11,1,0.728,"new"
"851",11,1,1.176,"new"
"852",11,0,2.119,"old"
"853",11,0,2.103,"old"
"854",11,1,0.904,"new"
"855",11,1,1.318,"new"
"856",11,1,0.647,"new"
"857",11,1,2.103,"old"
"858",11,1,0.64,"new"
"859",11,1,0.752,"new"
"860",11,1,0.847,"new"
"861",11,0,0.878,"new"
"862",11,0,1.398,"old"
"863",11,0,0.791,"old"
"864",11,0,0.646,"old"
"865",11,1,0.776,"old"
"866",11,1,1.67,"new"
"867",11,1,0.975,"new"
"868",11,1,1.19,"old"
"869",11,0,1.08,"old"
"870",11,0,0.926,"old"
"871",11,0,0.79,"old"
"872",11,1,1.206,"old"
"873",11,0,0.687,"old"
"874",11,1,0.718,"new"
"875",11,0,0.63,"old"
"876",11,0,1.247,"old"
"877",11,1,0.759,"new"
"878",11,1,1.143,"old"
"879",11,0,2.407,"new"
"880",11,0,0.767,"old"
"881",11,0,1.872,"new"
"882",11,0,0.759,"old"
"883",11,1,0.839,"new"
"884",11,1,1.207,"new"
"885",11,0,0.951,"old"
"886",11,1,0.879,"new"
"887",11,1,0.991,"new"
"888",11,0,0.976,"old"
"889",11,0,2.574,"old"
"890",11,0,0.871,"old"
"891",11,0,0.726,"old"
"892",11,1,4.166,"old"
"893",11,1,1.015,"new"
"894",11,1,0.726,"new"
"895",11,1,1.198,"new"
"896",11,0,1.055,"old"
"897",11,0,1.112,"old"
"898",11,1,1.247,"new"
"899",11,1,1.431,"new"
"900",11,0,0.735,"old"
"901",12,1,4.841,"old"
"902",12,1,2.047,"old"
"903",12,1,1.199,"new"
"904",12,1,1.326,"new"
"905",12,1,1.063,"new"
"906",12,1,0.863,"old"
"907",12,0,0.743,"new"
"908",12,1,0.943,"old"
"909",12,1,0.655,"old"
"910",12,1,0.814,"new"
"911",12,1,0.846,"new"
"912",12,1,0.662,"old"
"913",12,1,1.063,"old"
"914",12,1,0.887,"new"
"915",12,0,1.359,"old"
"916",12,0,0.847,"old"
"917",12,1,0.896,"old"
"918",12,1,1.646,"new"
"919",12,0,0.662,"old"
"920",12,1,0.712,"new"
"921",12,1,1.415,"new"
"922",12,0,1.551,"old"
"923",12,1,0.655,"new"
"924",12,1,0.591,"new"
"925",12,1,0.526,"new"
"926",12,1,0.479,"new"
