SubID;setno;condition;testorder;word;respond;wordtype;answertype;correct;RT;datatype;dataoldnew
201;2;LF;149;LÄ°RÄ°K;k;new;new;1;0.655;lab;eski
201;2;LF;150;KELEBEK;k;new;new;1;1.375;lab;eski
210;1;LF;1;BOZA;d;new;new;1;3.933;lab;eski
210;1;LF;2;BAÄNAZ;k;old;old;1;1.291;lab;eski
210;1;LF;3;HORULTU;k;old;old;1;0.901;lab;eski
210;1;LF;4;MISRA;d;new;new;1;0.942;lab;eski
210;1;LF;5;MIZRAK;k;old;old;1;0.895;lab;eski
210;1;LF;6;PARKE;k;old;old;1;0.838;lab;eski
210;1;LF;7;PIHTI;d;new;new;1;0.806;lab;eski
210;1;LF;8;ÅEFFAF;d;new;new;1;1.471;lab;eski
210;1;LF;9;KASNAK;d;new;new;1;1.175;lab;eski
210;1;LF;10;PATEN;d;new;new;1;1.272;lab;eski
210;1;LF;11;ZILGIT;k;old;old;1;0.727;lab;eski
210;1;LF;12;BENCÄ°L;d;new;new;1;1.231;lab;eski
210;1;LF;13;YAMA;d;old;new;0;1.158;lab;eski
210;1;LF;14;BARINAK;d;new;new;1;1.302;lab;eski
210;1;LF;15;KAYISI;d;new;new;1;1.102;lab;eski
210;1;LF;16;FAZLALIK;d;new;new;1;Jan 24;lab;eski
210;1;LF;17;LEHÃ‡E;d;old;new;0;01. Mrz;lab;eski
210;1;LF;18;Ã‡Ä°Ã‡EKÃ‡Ä°;d;new;new;1;0.839;lab;eski
210;1;LF;19;ATLETÄ°K;d;new;new;1;0.734;lab;eski
210;1;LF;20;HARAÃ‡;k;old;old;1;0.903;lab;eski
210;1;LF;21;PAPATYA;d;new;new;1;0.886;lab;eski
210;1;LF;22;Ã–TÃœCÃœ;k;old;old;1;0.864;lab;eski
210;1;LF;23;TABU;d;old;new;0;1.142;lab;eski
210;1;LF;24;DÄ°ZGÄ°N;k;old;old;1;0.702;lab;eski
210;1;LF;25;YALI;d;new;new;1;0.807;lab;eski
210;1;LF;26;URGAN;d;new;new;1;1.023;lab;eski
210;1;LF;27;Ã–NCÃœLÃœK;k;old;old;1;0.751;lab;eski
210;1;LF;28;YONCA;d;new;new;1;01. Mrz;lab;eski
210;1;LF;29;MIZRAP;k;old;old;1;0.966;lab;eski
210;1;LF;30;KUZGUN;k;old;old;1;0.99;lab;eski
210;1;LF;31;ÃœMÄ°TLÄ°;d;new;new;1;0.999;lab;eski
210;1;LF;32;KAFÄ°YE;k;old;old;1;0.712;lab;eski
210;1;LF;33;NOKSAN;d;new;new;1;0.743;lab;eski
210;1;LF;34;PUNTO;d;old;new;0;1.079;lab;eski
210;1;LF;35;SULAK;d;new;new;1;1.182;lab;eski
210;1;LF;36;KAHPE;k;old;old;1;0.742;lab;eski
210;1;LF;37;EBLEH;d;old;new;0;0.879;lab;eski
210;1;LF;38;ÃœÅENGEÃ‡;k;old;old;1;0.75;lab;eski
210;1;LF;39;MUSON;d;old;new;0;0.903;lab;eski
210;1;LF;40;Ã–ÄLEN;d;new;new;1;0.839;lab;eski
210;1;LF;41;ÅALTER;d;new;new;1;1.031;lab;eski
210;1;LF;42;YANSIZ;d;new;new;1;0.983;lab;eski
210;1;LF;43;Ä°ÅLEMCÄ°;k;old;old;1;0.67;lab;eski
210;1;LF;44;FÃœZE;d;new;new;1;0.79;lab;eski
210;1;LF;45;Ã‡EHRE;k;old;old;1;0.919;lab;eski
210;1;LF;46;ESÄ°NTÄ°;k;new;old;0;0.903;lab;eski
210;1;LF;47;SÃœLÃœN;d;new;new;1;0.75;lab;eski
210;1;LF;48;SÃœRESÄ°Z;d;new;new;1;1.399;lab;eski
210;1;LF;49;TEKE;k;old;old;1;1.062;lab;eski
210;1;LF;50;MAYIN;k;old;old;1;0.663;lab;eski
210;1;LF;51;MÃœÅFÄ°K;k;old;old;1;0.878;lab;eski
210;1;LF;52;SOYTARI;d;new;new;1;1.359;lab;eski
210;1;LF;53;ÅEBEK;d;new;new;1;1.136;lab;eski
210;1;LF;54;HAYDUT;k;old;old;1;Jan 63;lab;eski
210;1;LF;55;TORTUL;d;new;new;1;0.927;lab;eski
210;1;LF;56;BRÃœT;k;old;old;1;0.943;lab;eski
210;1;LF;57;SEMER;d;new;new;1;0.927;lab;eski
210;1;LF;58;BAÅIBOÅ;k;old;old;1;1.086;lab;eski
210;1;LF;59;SAZLIK;d;old;new;0;0.823;lab;eski
210;1;LF;60;AVARE;d;old;new;0;0.943;lab;eski
210;1;LF;61;TAKAT;d;new;new;1;0.743;lab;eski
210;1;LF;62;SESTEÅ;d;new;new;1;0.96;lab;eski
210;1;LF;63;HAYTA;k;old;old;1;0.951;lab;eski
210;1;LF;64;SONDAJ;k;old;old;1;0.808;lab;eski
210;1;LF;65;MAÄARA;d;new;new;1;0.776;lab;eski
210;1;LF;66;CILK;d;old;new;0;1.079;lab;eski
210;1;LF;67;KEPENK;k;old;old;1;0.686;lab;eski
210;1;LF;68;NEZLE;k;old;old;1;0.991;lab;eski
210;1;LF;69;ANTEN;d;old;new;0;1.343;lab;eski
210;1;LF;70;ONURSUZ;d;old;new;0;1.007;lab;eski
210;1;LF;71;CANSIZ;d;new;new;1;0.91;lab;eski
210;1;LF;72;HAÅARI;d;new;new;1;0.871;lab;eski
210;1;LF;73;AZÄ°M;d;new;new;1;0.71;lab;eski
210;1;LF;74;NÄ°ÅANCI;d;new;new;1;1.079;lab;eski
210;1;LF;75;PASLI;d;old;new;0;1.032;lab;eski
210;1;LF;76;CENÄ°N;d;new;new;1;1.088;lab;eski
210;1;LF;77;LÄ°RÄ°K;d;new;new;1;1.022;lab;eski
210;1;LF;78;PENSE;d;new;new;1;0.886;lab;eski
210;1;LF;79;TIKNAZ;k;old;old;1;0.904;lab;eski
210;1;LF;80;SARP;d;old;new;0;0.783;lab;eski
210;1;LF;81;FÃ‚NÄ°;d;new;new;1;0.704;lab;eski
210;1;LF;82;RADYUM;d;new;new;1;0.807;lab;eski
210;1;LF;83;KARGO;d;old;new;0;0.918;lab;eski
210;1;LF;84;BERBER;k;old;old;1;0.759;lab;eski
210;1;LF;85;SEVAP;k;old;old;1;0.662;lab;eski
210;1;LF;86;ÃœTOPYA;k;old;old;1;0.6;lab;eski
210;1;LF;87;KAMBUR;k;old;old;1;1.519;lab;eski
210;1;LF;88;KUYUMCU;d;new;new;1;1.383;lab;eski
210;1;LF;89;GADDAR;d;new;new;1;0.782;lab;eski
210;1;LF;90;SÃ–RF;d;new;new;1;0.798;lab;eski
210;1;LF;91;Ä°ÄDE;k;old;old;1;0.704;lab;eski
210;1;LF;92;TABURE;d;old;new;0;1.142;lab;eski
